,company,salary,title
1357,Trident Engineering & Inspection,,Mechanical Engineer
1358,Jereh North American Group,"$50,000 - $75,000 a year",Manufacturing Process Engineer
1359,Merichem,,Sr. Process Engineer
1360,Barrios Technology,,CPSS Project Coordinator (PC)
1361,TechnipFMC,,Software Engineering Intern
1362,"LanzaJet, Inc.",,Senior Process Engineer
1363,The University of Texas System,,"Landman - Minerals, Midland, TX"
1364,PinnacleART,,Solutions Engineer
1365,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
1366,Kinder Morgan,,Construction Support Manager
1367,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1368,TechnipFMC,,Account Manager
1369,Gardner Denver Petroleum,,Production Supervisor
1370,US Department of the Army,"$77,488 - $115,830 a year",Interdisciplinary
1371,TechnipFMC,,Field Sales Representative (Surface Wellhead)
1372,Allegiance Refining LLC,,Process Engineer
1373,Barrios Technology,,Systems Engineer – Human Space Flight (SE&I)
1374,Barrios Technology,,Wiki Developer
1375,Diamond Z Engineering,,AUTOCAD DESIGNER
1376,University of Texas at San Antonio,,Assistant/Associate Professor (Biomedical Engineering and Ch...
1377,NYC Department of Buildings,"$56,041 - $64,447 a year",Industrial Hygienist
1378,Kinder Morgan,,Director of Engineering Project Management
1379,Occidental Petroleum Corporation,,Maintenance Engineer
1380,"AMETEK, Inc.",,Field Service Engineer- West
1381,Phillips 66,,Utilities and Energy Engineer - Billings Refinery
1382,MTH Pumps,"$67,000 - $70,000 a year",Engineer
1383,Energy Transfer Family of Partnerships,,Sr Engineer
1384,DNV GL AS,,Summer Engineering Intern - Pipeline Hydraulics Consulting (...
1385,Wood Plc,,Measurement Technician
1386,Williams Companies,,Tech Specialist
1387,Barrios Technology,,CPSS Project Coordinator (PC)
1388,TechnipFMC,,Software Engineering Intern
1389,"LanzaJet, Inc.",,Senior Process Engineer
1390,The University of Texas System,,"Landman - Minerals, Midland, TX"
1391,PinnacleART,,Solutions Engineer
1392,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
1393,Kinder Morgan,,Construction Support Manager
1394,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1395,TechnipFMC,,Account Manager
1396,Gardner Denver Petroleum,,Production Supervisor
1397,US Department of the Army,"$77,488 - $115,830 a year",Interdisciplinary
1398,TechnipFMC,,Field Sales Representative (Surface Wellhead)
1399,CRETE Consulting Inc,$30 - $50 an hour,Environmental Engineer
1400,CVR Energy,,Safety Specialist - DOT Pipeline
1401,Ventus Solutions,,Engineer
1402,Trident Engineering & Inspection,,Mechanical Engineer
1403,Jereh North American Group,"$50,000 - $75,000 a year",Manufacturing Process Engineer
1404,Merichem,,Sr. Process Engineer
1405,Barrios Technology,,CPSS Project Coordinator (PC)
1406,TechnipFMC,,Software Engineering Intern
1407,"LanzaJet, Inc.",,Senior Process Engineer
1408,The University of Texas System,,"Landman - Minerals, Midland, TX"
1409,PinnacleART,,Solutions Engineer
1410,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
1411,Kinder Morgan,,Construction Support Manager
1412,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1413,TechnipFMC,,Account Manager
1414,Gardner Denver Petroleum,,Production Supervisor
1415,US Department of the Army,"$77,488 - $115,830 a year",Interdisciplinary
1416,TechnipFMC,,Field Sales Representative (Surface Wellhead)
1417,California Resources Corporation,,Operations Engineer
1418,National Renewable Energy Laboratory,"$68,000 - $112,200 a year",Postdoctoral Researcher – Process modeling and sustainabilit...
1419,"Accura Engineering & Consulting Services, Inc.",,Construction Engineering Inspector- Utilities
1420,Valero Energy Corporation,,Software Development Engineering Analyst
1421,US Department of Veterans Affairs,"$58,842 - $76,499 a year",Engineering Technician
1422,World Oil Refining,,Environmental Engineer
1423,Weston Solutions,,Engineering Associate 2
1424,Sundyne,"$75,000 - $95,000 a year",Project Engineer/Manager
1425,US Department of Agriculture,"$34,916 - $68,777 a year",Engineering Technician
1426,"LanzaJet, Inc.",,Senior Process Engineer
1427,Hilcorp Energy Company,,Facilities Engineer
1428,Ventus Solutions,,Engineer
1429,OneSource,"$110,000 - $130,000 a year",Refinery Process Control Engineer (3530)
1430,City of Toledo,"$50,024 - $58,864 a year",Engineering Associate
1431,BRS,,Project Environmental Specaili
1432,Jereh North American Group,"$50,000 - $75,000 a year",Manufacturing Process Engineer
1433,Merichem,,Sr. Process Engineer
1434,Barrios Technology,,CPSS Project Coordinator (PC)
1435,TechnipFMC,,Software Engineering Intern
1436,"LanzaJet, Inc.",,Senior Process Engineer
1437,The University of Texas System,,"Landman - Minerals, Midland, TX"
1438,PinnacleART,,Solutions Engineer
1439,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
1440,Kinder Morgan,,Construction Support Manager
1441,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1442,TechnipFMC,,Account Manager
1443,Gardner Denver Petroleum,,Production Supervisor
1444,US Department of the Army,"$77,488 - $115,830 a year",Interdisciplinary
1445,TechnipFMC,,Field Sales Representative (Surface Wellhead)
1446,CRETE Consulting Inc,$30 - $50 an hour,Environmental Engineer
1447,Trident Engineering & Inspection,,Mechanical Engineer
1448,Jereh North American Group,"$50,000 - $75,000 a year",Manufacturing Process Engineer
1449,Merichem,,Sr. Process Engineer
1450,Barrios Technology,,CPSS Project Coordinator (PC)
1451,TechnipFMC,,Software Engineering Intern
1452,"LanzaJet, Inc.",,Senior Process Engineer
1453,The University of Texas System,,"Landman - Minerals, Midland, TX"
1454,PinnacleART,,Solutions Engineer
1455,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
1456,Kinder Morgan,,Construction Support Manager
1457,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1458,TechnipFMC,,Account Manager
1459,Gardner Denver Petroleum,,Production Supervisor
1460,US Department of the Army,"$77,488 - $115,830 a year",Interdisciplinary
1461,TechnipFMC,,Field Sales Representative (Surface Wellhead)
1462,TechnipFMC,,Software Engineering Intern
1463,"LanzaJet, Inc.",,Senior Process Engineer
1464,The University of Texas System,,"Landman - Minerals, Midland, TX"
1465,PinnacleART,,Solutions Engineer
1466,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
1467,Kinder Morgan,,Construction Support Manager
1468,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1469,TechnipFMC,,Account Manager
1470,Gardner Denver Petroleum,,Production Supervisor
1471,US Department of the Army,"$77,488 - $115,830 a year",Interdisciplinary
1472,TechnipFMC,,Field Sales Representative (Surface Wellhead)
1473,CRETE Consulting Inc,$30 - $50 an hour,Environmental Engineer
1474,CVR Energy,,Safety Specialist - DOT Pipeline
1475,Ventus Solutions,,Engineer
1476,HollyFrontier Corporation,,"Superintendent, Inspection"
1477,Merichem,,Sr. Process Engineer
1478,Barrios Technology,,CPSS Project Coordinator (PC)
1479,TechnipFMC,,Software Engineering Intern
1480,"LanzaJet, Inc.",,Senior Process Engineer
1481,The University of Texas System,,"Landman - Minerals, Midland, TX"
1482,PinnacleART,,Solutions Engineer
1483,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
1484,Kinder Morgan,,Construction Support Manager
1485,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1486,TechnipFMC,,Account Manager
1487,Gardner Denver Petroleum,,Production Supervisor
1488,US Department of the Army,"$77,488 - $115,830 a year",Interdisciplinary
1489,TechnipFMC,,Field Sales Representative (Surface Wellhead)
1490,CRETE Consulting Inc,$30 - $50 an hour,Environmental Engineer
1491,CVR Energy,,Safety Specialist - DOT Pipeline
